L	a	b
60,5881	12,8853	19,7062
58,9600	12,5902	18,7385
65,5143	9,9317	17,5480
55,4896	16,3948	16,6336
55,0073	17,7481	15,4834
60,2901	13,5275	17,3168
59,6845	18,7644	15,6004
61,2656	14,0689	18,9250
62,1187	20,9230	17,1262
57,4602	20,9338	16,5768
64,1814	11,0078	17,7966
60,7698	8,0809	20,1030
69,4374	6,2190	14,7920
64,3793	11,9002	14,6139
56,3144	16,9828	11,9973
64,6049	10,7951	13,9620
65,8791	12,8284	14,8962
64,7285	13,9114	15,3855
56,0797	19,9383	16,1940
59,5895	19,0117	14,7711
63,3394	12,0849	15,1695
63,2389	13,7061	22,2403
66,1373	9,8230	19,7436
64,4574	13,4873	18,1689
61,3010	19,1016	14,7207
63,9113	13,9881	17,1779
62,2587	18,4597	14,9546
59,6370	16,5632	14,3774
63,3216	21,6139	16,7704
56,7011	26,0813	14,2622
61,6087	11,3750	18,5063
61,3544	10,2790	19,8181
64,2504	7,9892	17,7114
58,2132	15,1408	17,9343
56,0437	14,0426	14,1288
60,1184	14,9359	16,5201
59,5298	17,3834	14,9640
60,9299	14,7901	17,0329
62,6538	17,9368	15,2964
60,4588	20,0679	14,4820
61,4984	11,1356	18,5148
60,1422	9,3012	20,4397
68,1780	6,1566	15,2246
63,1505	13,1206	17,3184
58,8325	10,3545	11,8640
62,5669	13,9711	16,3311
63,6553	15,2762	16,3253
60,8347	13,3604	16,3338
65,2965	15,7215	17,6996
63,0476	17,9042	15,8426
67,3360	9,3931	14,1400
62,5971	10,0131	16,5681
70,5536	6,5420	10,8360
63,1819	14,5434	13,6744
59,4074	15,8532	13,1807
60,9067	17,7955	13,5929
62,3081	17,1881	12,6690
61,6761	14,3841	14,8257
62,0420	19,3480	13,7551
54,0587	12,9385	13,5005
65,1418	10,2227	12,9829
65,2797	10,8811	14,7682
69,7280	6,6372	12,1649
63,8142	14,0829	13,0801
63,5501	17,0641	14,2429
63,2871	16,2331	14,7846
64,8402	17,2031	12,1753
65,5737	12,1690	14,7216
60,0867	21,6278	17,3080
64,0255	19,0440	17,5210
64,0446	11,3835	14,4920
67,2185	7,3011	15,4570
70,0337	6,3462	10,6704
66,3348	9,0599	14,7597
61,1979	14,3940	13,1595
65,4424	12,4836	14,3726
65,5675	14,2149	14,6653
66,4549	10,7040	14,7384
61,8927	17,6459	14,9735
63,4882	16,7447	14,3762
70,1546	6,8252	13,5489
68,9238	7,9260	12,8386
73,1934	3,5338	9,9380
68,1243	8,5554	10,6680
59,2886	19,8131	12,2378
63,7824	14,2258	14,0368
63,2102	17,5221	10,4370
62,3752	14,7584	11,6182
64,2446	16,9427	12,1687
64,3606	15,8119	14,6923
66,6109	9,7824	19,0920
64,6774	8,0774	21,2166
72,2819	5,5664	14,6160
68,3139	8,5254	17,5779
65,4377	13,3056	13,3643
66,4250	11,3769	17,7453
67,6053	13,8608	16,9293
67,7691	11,8031	16,0890
67,1261	14,9084	18,8824
64,3297	14,4250	15,6975
70,6263	7,8758	11,1400
70,7387	5,3660	14,2917
73,7069	4,3306	9,2099
71,0504	7,7979	11,7739
64,8252	15,6531	13,0466
66,4080	12,7903	14,4074
65,0054	16,3914	13,7216
65,1833	13,6183	14,9281
62,8451	19,5734	16,4512
63,7828	17,9333	14,0896
63,3871	7,2537	19,2748
60,5808	9,5775	21,0969
60,3481	6,5806	18,4527
59,9388	12,3977	20,1682
58,7113	14,2209	14,0278
58,5049	10,9632	19,0186
61,5210	16,1327	16,3903
60,5078	12,0513	20,6978
61,0256	22,8616	16,0845
60,8243	16,8217	17,7406
58,0800	9,6724	21,9136
58,5229	8,6560	22,2497
62,1533	6,7290	19,8121
63,7253	9,7726	17,0139
59,9266	13,1735	17,0573
60,9156	12,7122	16,8312
61,8165	12,3569	15,2583
63,5953	11,8707	16,7895
61,1245	15,7437	13,9573
60,6878	16,6080	14,0042
69,5474	7,5894	16,8424
69,4542	6,8493	15,2425
71,9010	4,5613	13,5525
70,3741	9,0809	14,3142
61,3189	15,5531	13,5279
66,8970	12,4163	15,0633
65,8467	15,0160	12,8262
64,4877	12,7641	16,0933
68,4675	13,2598	15,1205
61,7028	16,6185	14,3603
65,9592	8,7881	19,9532
62,7680	8,1164	19,3657
68,2074	6,1142	17,6290
67,0851	7,7680	16,3974
65,0374	14,7358	15,0523
64,7225	11,5698	15,6538
67,3982	10,7864	16,6678
66,5121	10,1756	17,2913
60,9594	22,3113	14,9989
60,4456	19,1706	15,8113
65,4993	9,5204	18,2871
62,6511	9,8375	19,9364
68,6603	7,6335	15,8505
67,3242	7,6163	16,8103
63,8732	14,8659	14,4895
68,6012	7,8841	15,8660
64,7640	14,7698	13,1380
65,3711	12,2887	15,7907
61,5418	23,1559	17,4568
62,6682	18,4613	17,7267
63,3524	10,0285	19,9798
60,4837	9,9316	22,8360
65,3696	8,1020	18,7728
63,1156	9,6840	20,4818
61,1510	16,7622	16,9868
63,6168	10,9104	19,4363
60,5239	17,6385	16,9585
64,5386	12,4602	17,7767
64,7888	17,9096	17,7149
62,0988	18,2280	16,6781
70,3728	7,8611	17,4758
70,0486	5,1156	16,8788
71,6598	4,3386	13,5944
70,5868	6,1679	14,9863
67,8910	12,5952	11,8074
70,3442	8,1698	13,6450
69,2629	11,3162	13,5402
66,5034	12,4333	15,7532
65,2040	17,7870	19,4087
69,2071	12,7331	16,5961
70,9276	8,9698	15,6247
71,8796	6,2084	15,6751
72,8706	6,1799	13,0377
72,7543	6,3528	14,7347
63,8734	16,7847	13,1447
67,2820	12,8204	13,9992
65,4062	17,2219	12,0540
70,0435	11,0606	14,2606
62,3745	21,7819	17,3297
63,5389	18,8118	15,6310
68,2190	6,9899	11,0409
68,8279	8,3363	12,9706
71,8060	4,9384	9,5434
70,4182	6,0169	14,5830
63,6472	15,6700	11,4811
69,7886	7,9660	11,6836
66,0815	14,7114	10,7214
66,6418	13,0444	11,5847
60,5624	22,5456	12,3292
65,7275	15,5864	12,1562
66,1548	8,3925	17,2004
66,5542	7,2707	14,1775
67,0847	6,5344	12,7718
70,3974	8,1272	13,1336
63,3073	17,1932	14,8443
66,7951	12,5467	11,7172
63,9441	17,4342	11,2684
65,6926	14,0257	12,3007
59,5750	17,6998	14,6248
64,0089	17,5660	14,0556
55,9565	10,6623	20,1054
56,4970	9,7114	22,3471
68,3928	5,9716	17,4447
59,1206	13,3773	20,1456
61,8050	15,0281	16,7479
59,2540	18,0732	15,8353
61,3195	12,6767	19,0049
60,9236	13,2002	16,5811
61,3873	20,0353	16,1736
54,9630	21,4136	14,8489
65,3319	6,3870	16,6936
63,7792	8,0234	21,2394
66,9633	6,1259	17,7256
69,2665	7,7844	15,9823
66,2489	13,1704	16,6165
67,0297	8,5103	18,3952
62,9940	15,7245	15,3266
67,6460	9,0567	17,4397
61,8925	21,7552	14,5332
68,9278	11,6339	16,1725
62,4670	10,2285	17,8989
65,3350	7,9438	20,6986
69,0439	5,8567	17,9629
67,1695	10,0604	17,5796
61,5285	17,5180	15,9126
66,0759	10,4771	18,1313
64,7421	15,8126	16,9143
66,9046	10,7796	17,3910
66,5851	11,2102	16,8787
64,1386	16,3686	18,1632
62,7354	10,6201	18,9020
64,9033	9,6981	19,4626
67,6074	9,9951	13,4958
62,2975	14,7017	16,1619
60,1957	18,4099	14,2552
63,5634	12,7119	16,5906
60,6566	20,0189	15,4257
62,1565	16,6962	15,7293
59,9986	23,9162	17,2551
59,9381	20,6092	14,6104
64,1465	10,3789	17,8117
65,2123	7,9641	18,2126
67,8347	6,9638	16,5948
61,9588	9,9427	21,7335
61,3336	12,8544	17,1166
64,2669	10,7850	15,6964
65,1076	12,3418	14,0870
59,5731	11,7914	19,1420
65,7638	16,8014	15,0246
57,5938	19,7003	15,5693
63,0983	7,5772	22,2847
71,7927	5,4755	14,9492
71,0470	5,5664	16,6013
66,9537	8,4447	15,6317
60,9846	16,9590	13,7529
64,9198	12,0902	17,3362
64,1921	15,2317	14,7196
63,0920	13,6398	17,8956
57,2250	27,2105	18,6037
63,0018	16,7103	18,7081
59,9450	7,0983	18,3095
64,4717	8,8776	20,1116
64,7509	8,6704	18,6517
64,2070	8,9394	17,2151
63,1319	13,9720	18,3020
61,1153	14,0048	17,4966
65,4960	13,8149	17,0317
61,8837	11,2096	17,6607
61,4396	21,7425	16,2586
62,5523	15,7716	17,9157
63,6076	10,2078	21,5648
60,4517	9,6700	20,6456
66,8976	6,2298	19,3677
67,4647	6,8013	16,6532
62,5076	15,1687	15,9123
64,6733	10,6302	18,8607
61,8197	15,9808	17,2017
63,3940	11,7066	18,2071
66,7934	16,3675	18,0715
64,9408	14,8033	17,1424
65,8034	9,1138	18,5675
68,0056	6,1490	18,7787
70,5624	4,4153	14,5813
67,5014	8,7029	18,0441
58,0430	13,8499	15,9906
66,9229	10,8375	18,3333
64,8340	15,9547	13,7581
63,5303	14,3087	16,2631
63,0109	19,8469	18,0781
65,3845	15,8008	16,3232
61,9174	9,8203	23,0284
63,7056	8,0771	22,8763
69,9019	5,1558	17,1737
68,4686	6,5298	17,1756
65,6507	13,6887	15,2010
67,5427	8,3349	16,6495
66,9907	13,6867	13,2963
66,7909	10,1158	17,1779
64,3353	16,7280	15,7672
67,1648	13,7677	17,7993
67,0104	4,7315	15,0568
70,6979	5,5350	16,3570
72,2580	4,6856	13,6074
68,9589	7,6249	15,5195
58,6959	20,5725	13,3579
68,5614	9,7798	13,3336
63,8621	16,1709	11,7155
67,1720	10,3230	15,5116
60,7952	13,2376	15,3604
66,7213	13,0853	15,2031
64,1557	8,8067	19,9101
63,9241	9,1005	19,9226
67,0374	3,7010	16,1874
68,9877	6,7927	15,7950
61,1041	18,0151	14,7836
65,8359	10,5742	16,6910
62,4085	16,1105	11,1941
65,9003	12,3628	14,5770
64,3340	19,4139	18,8044
62,7403	16,5702	14,4284
69,2324	6,7214	12,6568
70,6565	6,1111	11,7809
72,3839	5,4859	11,5158
67,7137	12,3518	11,8275
64,7548	16,6697	10,9000
67,5656	13,1073	11,7663
64,6663	16,9008	11,2914
62,7191	19,2519	11,7237
63,2780	20,4756	13,1632
61,3250	19,2618	13,3129
64,8453	9,2611	16,0840
64,7796	8,8541	16,7735
68,1807	5,5232	12,0851
66,1815	8,4227	16,9959
55,9336	22,9278	13,6626
62,5667	14,1375	15,0560
61,2609	15,8682	13,9092
62,9779	11,2874	16,2700
64,8062	16,7288	14,6418
59,9733	20,6183	15,0408
67,9863	7,8702	16,9309
68,7190	6,5570	16,3697
72,1560	5,1489	14,0299
71,6276	5,5958	15,9468
71,9070	8,1543	14,9779
70,7620	12,6947	14,1855
67,9791	12,0302	14,8341
61,5426	25,9163	16,3344
67,5714	14,9267	15,4463
64,3397	18,3597	12,4684
70,8384	5,3793	15,5962
68,4766	5,2053	18,3528
70,5371	4,8031	16,5342
69,9587	5,4026	15,3159
64,7567	16,3412	14,2861
65,8540	12,9850	13,6089
